timestamp,power.draw[W],memory.used[MiB],utilization.gpu[%],temperature.gpu[C]
2026/07/14 14:22:57.713, 17.67 W, 2 MiB, 0 %, 45
2026/07/14 14:22:58.718, 16.69 W, 92 MiB, 0 %, 45
2026/07/14 14:22:59.718, 16.00 W, 92 MiB, 0 %, 45
2026/07/14 14:23:00.719, 15.91 W, 92 MiB, 0 %, 45
2026/07/14 14:23:01.719, 15.91 W, 92 MiB, 0 %, 45
2026/07/14 14:23:02.720, 15.91 W, 92 MiB, 0 %, 46
2026/07/14 14:23:03.720, 15.90 W, 92 MiB, 0 %, 46
2026/07/14 14:23:04.721, 16.34 W, 502 MiB, 0 %, 46
2026/07/14 14:23:05.721, 16.18 W, 502 MiB, 0 %, 46
2026/07/14 14:23:06.722, 15.98 W, 502 MiB, 0 %, 46
2026/07/14 14:23:07.722, 15.97 W, 502 MiB, 0 %, 46
2026/07/14 14:23:08.723, 15.95 W, 502 MiB, 0 %, 46
2026/07/14 14:23:09.723, 15.95 W, 502 MiB, 0 %, 46
2026/07/14 14:23:10.723, 15.94 W, 502 MiB, 0 %, 46
2026/07/14 14:23:11.724, 15.95 W, 502 MiB, 0 %, 46
2026/07/14 14:23:12.724, 15.96 W, 502 MiB, 0 %, 46
2026/07/14 14:23:13.724, 15.94 W, 502 MiB, 0 %, 46
2026/07/14 14:23:14.725, 15.96 W, 502 MiB, 0 %, 46
2026/07/14 14:23:15.725, 15.96 W, 502 MiB, 0 %, 46
2026/07/14 14:23:16.726, 15.95 W, 502 MiB, 0 %, 46
2026/07/14 14:23:17.726, 15.96 W, 502 MiB, 0 %, 46
2026/07/14 14:23:18.726, 15.95 W, 502 MiB, 0 %, 46
2026/07/14 14:23:19.727, 15.93 W, 502 MiB, 0 %, 46
2026/07/14 14:23:20.727, 15.95 W, 502 MiB, 0 %, 46
2026/07/14 14:23:21.728, 13.86 W, 1302 MiB, 0 %, 46
2026/07/14 14:23:22.728, 15.14 W, 1302 MiB, 0 %, 46
2026/07/14 14:23:23.728, 15.93 W, 1620 MiB, 0 %, 46
2026/07/14 14:23:24.729, 15.96 W, 1620 MiB, 0 %, 46
2026/07/14 14:23:25.729, 16.15 W, 1630 MiB, 2 %, 46
2026/07/14 14:23:26.729, 16.27 W, 1630 MiB, 0 %, 46
2026/07/14 14:23:27.730, 18.65 W, 510 MiB, 8 %, 47
